ID,Eye,Image_path,Label_path
5,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_1.png
6,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_2.png
7,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_3.png
8,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_4.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_4.png
13,7,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/7_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/7_1.png
14,7,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/7_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/7_2.png
15,7,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/7_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/7_3.png
16,7,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/7_4.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/7_4.png
17,7,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/7_5.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/7_5.png
24,9,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/9_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/9_1.png
29,13,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/13_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/13_1.png
31,15,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/15_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/15_1.png
