ID,Eye,Image_path,Label_path
5,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_1.png
6,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_2.png
7,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_3.png
8,4,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/4_4.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/4_4.png
31,15,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/15_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/15_1.png
32,16,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/16_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/16_1.png
33,16,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/16_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/16_2.png
38,19,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/19_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/19_1.png
58,33,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/33_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/33_1.png
77,41,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/41_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/41_1.png
108,53,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/53_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/53_1.png
109,53,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/53_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/53_2.png
