ID,Eye,Image_path,Label_path
1,1,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/1_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/1_r.png
2,1,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/1_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/1_l.png
3,2,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/2_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/2_r.png
4,2,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/2_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/2_l.png
5,3,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/3_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/3_r.png
6,3,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/3_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/3_l.png
7,4,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/4_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/4_r.png
8,4,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/4_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/4_l.png
9,5,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/5_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/5_l.png
10,5,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/5_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/5_r.png
11,6,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/6_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/6_r.png
12,6,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/6_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/6_l.png
13,7,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/7_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/7_r.png
14,7,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/7_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/7_l.png
15,8,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/8_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/8_r.png
16,8,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/8_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/8_l.png
17,9,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/9_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/9_r.png
18,9,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/9_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/9_l.png
19,10,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/10_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/10_l.png
20,10,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/10_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/10_r.png
