ID,Eye,Image_path,Label_path
7,4,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/4_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/4_r.png
8,4,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/4_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/4_l.png
15,8,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/8_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/8_r.png
16,8,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/8_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/8_l.png
31,16,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/16_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/16_r.png
32,16,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/16_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/16_l.png
39,20,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/20_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/20_l.png
40,20,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/20_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/20_r.png
43,22,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/22_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/22_r.png
44,22,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/22_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/22_l.png
47,24,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/24_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/24_l.png
48,24,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/24_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/24_r.png
55,28,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/28_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/28_l.png
56,28,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/28_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/28_r.png
63,32,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/32_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/32_l.png
64,32,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/32_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/32_r.png
79,40,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/40_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/40_r.png
80,40,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/40_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/40_l.png
87,44,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/44_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/44_r.png
88,44,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/44_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/44_l.png
93,47,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/47_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/47_r.png
94,47,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/47_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/47_l.png
95,48,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/48_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/48_l.png
96,48,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/48_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/48_r.png
101,51,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/51_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/51_l.png
102,51,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/51_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/51_r.png
109,55,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/55_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/55_r.png
110,55,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/55_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/55_l.png
117,59,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/59_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/59_r.png
118,59,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/59_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/59_l.png
202,103,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/103_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/103_l.png
206,107,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/107_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/107_l.png
207,108,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/108_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/108_l.png
210,111,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/111_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/111_l.png
133,67,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/67_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/67_l.png
134,67,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/67_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/67_r.png
139,70,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/70_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/70_l.png
140,70,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/70_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/70_r.png
143,72,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/72_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/72_l.png
144,72,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/72_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/72_r.png
147,74,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/74_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/74_r.png
148,74,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/74_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/74_l.png
155,78,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/78_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/78_r.png
156,78,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/78_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/78_l.png
