ID,Eye,Image_path,Label_path
1,1,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/1_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/1_r.png
2,1,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/1_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/1_l.png
5,3,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/3_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/3_r.png
6,3,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/3_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/3_l.png
7,4,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/4_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/4_r.png
8,4,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/4_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/4_l.png
9,5,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/5_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/5_l.png
10,5,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/5_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/5_r.png
13,7,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/7_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/7_r.png
14,7,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/7_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/7_l.png
15,8,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/8_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/8_r.png
16,8,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/8_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/8_l.png
17,9,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/9_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/9_r.png
18,9,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/9_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/9_l.png
21,11,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/11_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/11_l.png
22,11,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/11_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/11_r.png
23,12,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/12_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/12_r.png
24,12,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/12_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/12_l.png
25,13,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/13_r.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/13_r.png
26,13,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/x/13_l.png,/data1/wangjingtao/workplace/python/data/rp_data/heshi/rp/y/13_l.png
