ID,Image_path,Label_path,Class
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_16_1.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_16_1.png,21
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_10_10.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_10_10.png,21
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_34_8.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_34_8.png,21
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_32_7.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_32_7.png,21
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_13_9.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_13_9.png,21
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_35_3.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_35_3.png,21
0,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/x/21_20_4.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/21/y/21_20_4.png,21
1,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/88/x/88_01_4.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/88/y/88_01_4.png,88
2,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/39/x/39_32_8.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/39/y/39_32_8.png,39
2,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/39/x/39_05_5.png,/data1/wangjingtao/workplace/python/pycharm_remote/meta-learning-segmentation/task_aug/fundus/forge/results_chosen/39/y/39_05_5.png,39
