,ID,Eye,Image_path,Label_path
26,138,71,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/71_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/71_1.png
13,71,39,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/39_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/39_1.png
24,132,67,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/67_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/67_1.png
21,107,52,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/52_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/52_3.png
15,73,39,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/39_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/39_3.png
29,160,85,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/85_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/85_1.png
19,105,52,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/52_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/52_1.png
12,61,35,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/35_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/35_2.png
8,35,17,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/17_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/17_2.png
16,87,45,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/45_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/45_1.png
9,54,29,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/29_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/29_1.png
33,175,94,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/94_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/94_2.png
0,9,5,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/5_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/5_1.png
4,25,10,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/10_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/10_1.png
17,88,45,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/45_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/45_2.png
27,144,75,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/75_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/75_1.png
5,26,10,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/10_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/10_2.png
11,60,35,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/x/35_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/CNV/y/35_1.png
